 &plot nbnd=  13, nks=   201 /
   -8.559   -8.465   -8.458   -8.420   -8.413   -4.236   -0.053    3.173    4.415    9.128
   10.414   12.437   13.749
           -0.500000  0.237500  0.762500
   -8.559   -8.464   -8.457   -8.421   -8.413   -4.208   -0.051    3.092    4.345    9.221
   10.424   12.497   13.752
           -0.500000  0.225000  0.775000
   -8.560   -8.464   -8.456   -8.421   -8.413   -4.180   -0.051    3.019    4.274    9.313
   10.440   12.522   13.778
           -0.500000  0.212500  0.787500
   -8.561   -8.463   -8.455   -8.422   -8.413   -4.151   -0.053    2.953    4.201    9.401
   10.461   12.512   13.804
           -0.500000  0.200000  0.800000
   -8.561   -8.463   -8.454   -8.422   -8.413   -4.122   -0.057    2.895    4.127    9.488
   10.488   12.473   13.791
           -0.500000  0.187500  0.812500
   -8.562   -8.463   -8.453   -8.423   -8.413   -4.093   -0.062    2.845    4.053    9.573
   10.520   12.413   13.721
           -0.500000  0.175000  0.825000
   -8.563   -8.462   -8.453   -8.423   -8.413   -4.065   -0.070    2.803    3.977    9.657
   10.558   12.338   13.617
           -0.500000  0.162500  0.837500
   -8.563   -8.462   -8.452   -8.424   -8.413   -4.037   -0.080    2.769    3.901    9.739
   10.599   12.255   13.498
           -0.500000  0.150000  0.850000
   -8.564   -8.462   -8.451   -8.424   -8.413   -4.010   -0.091    2.744    3.825    9.820
   10.646   12.166   13.373
           -0.500000  0.137500  0.862500
   -8.565   -8.461   -8.450   -8.424   -8.413   -3.984   -0.103    2.726    3.750    9.901
   10.695   12.074   13.247
           -0.500000  0.125000  0.875000
   -8.565   -8.461   -8.450   -8.425   -8.413   -3.959   -0.117    2.717    3.675    9.981
   10.748   11.981   13.123
           -0.500000  0.112500  0.887500
   -8.566   -8.461   -8.449   -8.425   -8.413   -3.935   -0.131    2.715    3.601   10.060
   10.802   11.890   13.000
           -0.500000  0.100000  0.900000
   -8.566   -8.461   -8.449   -8.425   -8.413   -3.913   -0.145    2.720    3.528   10.139
   10.856   11.802   12.881
           -0.500000  0.087500  0.912500
   -8.567   -8.460   -8.448   -8.426   -8.413   -3.893   -0.159    2.732    3.457   10.217
   10.908   11.719   12.767
           -0.500000  0.075000  0.925000
   -8.567   -8.460   -8.448   -8.426   -8.413   -3.876   -0.172    2.750    3.387   10.295
   10.953   11.645   12.658
           -0.500000  0.062500  0.937500
